Ejercicio,Estado,Patrón,Tipo,Implementación principal,Músculos primarios trabajados,Músculos secundarios trabajados,Plano,Explicación del ejercicio,URL de YouTube
Transverso Crunch de bicicleta,hecho,Núcleo,Peso corporal,Ninguno,"Flexores de la cadera Transverso levantado del suelo. Para iniciar el movimiento, jala el opuesto",Hip Flexors,,"Abdóminis rodilla y codo juntos cruzando el cuerpo mientras extiendes la otra pierna hacia adelante. Luego, volver a iniciar Bike Erg comienza sentado en una bicicleta estática, con las manos sujetando Monoestructura Cuádriceps, glúteos, isquiotibiales, Bike Erg",https://www.youtube.com/watch?v=udtuZlqsrGU
Bike Erg,hecho,,Peso corporal,Bike,"Erg Erector de la espina, Recto abdominal","Erector Spinae, Rectus Abdominis",Sagital,"Flexores de la cadera ciclar los pies hacia adelante y hacia atrás de forma continua. Bird-Dog comienza en la posición cuadrúpeda, empezando con un brazo extendido hacia delante con el bíceps junto a la oreja y la pierna opuesta Bird-Dog",https://www.youtube.com/watch?v=Iz7uYgdLUPQ
Bird-Dog,re-film,Núcleo,Estabilidad,Ninguno,"Erector de la columna, glúteos, isquiotibiales","Deltoides anteriores, escápulas",Sagital,Brazo y la rodilla opuestos juntos debajo del torso y luego vuelve a extender de vuelta a la posición inicial.,https://www.youtube.com/watch?v=c0D51CL69-g
Bird-Dog fuera de banco,re-film,Núcleo,Peso corporal,Banco,"Erector de la espina, glúteos, isquiotibiales","Deltoides anteriores, escápulas",Sagital,"Oreja y la pierna opuesta atrás, con la pierna alineada con las caderas. Luego,",https://www.youtube.com/watch?v=jGx1ZsN4eu0
Block Clean,hecho,Doblar,Explosividad,Barbilla,"Latissimus dorsi,Trapecio","Latissimus Dorsi, Trapezius",Sagital,"Máximos a la anchura de los hombros y manos en pronación, con la parte superior de los pies",https://www.youtube.com/watch?v=MpOvT1pf85E
Clean de potencia de bloque,hecho,Doblar,Explosividad,Barra,"Dorsal ancho, trapecio","Latissimus Dorsi, Trapezius",Sagital,"Máximus barra, comenzando en una postura de bisagra, con una ligera flexión de las rodillas. Para",https://www.youtube.com/watch?v=4HBhwhOfm-8
Power Snatch de Bloque,hecho,Doblar,Explosividad,Barra,"Dorsal ancho, trapecio",,Sagital,"Máximus la barra descansa en el pliegue de la cadera en posición de pie) y pronada. Gira las caderas hacia abajo, dobla la rod Ejercicio Estado Patrón Tipo Implementación Principal Músculos Primarios Trabajados Músculos Secundarios Trabajados Plano Explicación del ejercicio URL de YouTube",https://www.youtube.com/watch?v=Y5B6a480w
"Plano Explicación del ejercicio URL de YouTube

El Snatch de Bloque",hecho,Doblar,Explosividad,Barra,"Latísimo Dorsi, Trapecio","Latissimus Dorsi, Trapezius",Sagital,"Máximo la articulación de la cadera en posición de pie) y pronado. Flexiona las caderas hacia abajo, flexiona las rodillas y",https://www.youtube.com/watch?v=ghkQ4aaFKqU
Body Lever,hecho,Núcleo,Peso corporal,Barra,Anclada Recto Abdominal,"Rhomboids, Latissimus Dorsi, Biceps",Sagital,"Bíceps piernas hacia el techo para que las caderas estén apiladas sobre los hombros. Con control, manteniendo el cuerpo en una Empieza la Tabla Corporal en una posición de plancha de antebrazos, con los codos debajo de los hombros, las piernas juntas y el core tensado. Para iniciar el Tabla Corporal",https://www.youtube.com/watch?v=asbL-H-gV1o
Para iniciar el Tabla Corporal,hecho,Núcleo,Peso corporal,Anillos,"Recto Abdominal Deltoides, Glúteos",,Sagital,"Movimiento, empezar a inclinarse hacia delante, permitiendo que los hombros se desplacen más allá de los codos y luego volver a la posición inicial.",https://www.youtube.com/watch?v=bfRjYZz
Sentadilla con Cajón de Peso Corporal,hecho,Sentadilla,Peso corporal,Caja Pliométrica,"Cuádriceps, Glúteos, Isquiotibiales Pantorrillas",,Sagital,Ancho mientras empujas las caderas hacia atrás y hacia abajo y extiendes los brazos,https://www.youtube.com/watch?v=jfKujG7rD
Impulso de Cadera con Déficit de Peso Corporal,hecho,Doblar,Peso corporal,Banco,"Glúteos, Isquiotibiales, Erector de la Espina Dorsal",Deltoides Posteriores,Sagital,"Movimiento, impulsa desde los talones y extiende las caderas hacia arriba hacia el techo, apretando los glúteos (con la",https://www.youtube.com/watch?v=mlAaOIP9BwI
Impulso de Cadera con Déficit de Peso Corporal,hecho,Doblar,Peso corporal,Banco,"Glúteos, Isquiotibiales, Erector de la Espina Dorsal, Deltoides Posteriores Sagital placa de peso y rodillas flexionadas, con las caderas apoyadas. Para iniciar el https://www.youtube.com/watch?v=mlAaOIP9BwI movimiento, impulsa desde los talones y extiende las caderas hacia arriba hacia el techo, apretando los glúteos (con la Sentadilla de ciclista con peso corporal comienza en una posición de pie, con una postura estrecha con los pies y los talones apoyados sobre una placa de peso Recto abdominal, Deltoides, Sentadilla de ciclista con peso corporal hecha Sentadilla Peso corporal Placa Cuádriceps, Glúteos, Isquiotibiales",,Sagital,"Erectores espinales movimiento, flexiona las rodillas y retrocede las caderas hacia atrás y hacia abajo hasta",https://www.youtube.com/watch?v=sZaJyFotm
Bodyweight Overhead Drop Lunge,,Sentadilla,Peso corporal,Placa,"Cuádriceps, Glúteos, Isquiotibiales Sagital o tabla inclinada y brazos extendidos por encima de la cabeza. Para iniciar el https://www.youtube.com/watch?v=sZaJyFotm\_s Erectores espinales movimiento","flexiona las rodillas y retrocede las caderas hacia atrás y hacia abajo hasta la parte inferior de una posición de sentadilla estrecha, k La zancada descendente con peso corporal comienza en una posición de pie alta, con los brazos extendidos por encima de la cabeza y los pies sobre una placa de peso o Fléxores de cadera, Deltoides, Recto Zancada descendente con peso corporal hecha Una pierna Peso corporal Placa Cuádriceps, Glúteos, Isquiotibiales",Sagital,"ABdominis y dobla las rodillas traseras para que ambas piernas estén en una posición 90-90,",https://www.youtube.com/watch?v=5VJpR9CYb1Y
Giro ruso con peso corporal,hecho,Núcleo,Peso corporal,Ninguno,Transverso del abdomen Recto abdominal Transverso en frente del abdomen. Para iniciar el movimiento,comienza a girar,,"Través del core y toca los nudillos hacia el suelo con la fuerza de tu costado. Luego, regresa a través de",https://www.youtube.com/watch?v=Fzsy5lIghOs
Giro ruso con peso corporal,hecho,Núcleo,Peso corporal,Ninguno,Transverso del abdomen Recto abdominal Transverso en frente del abdomen. Para iniciar el movimiento,"comienza a girar https://www.youtube.com/watch?v=Fzsy5lIghOs a través del core y toca los nudillos hacia el suelo con la fuerza de tu costado. Luego, regresa a través de La flexión lateral con peso corporal comienza en una posición neutral alta de pie, con brazos caídos a los lados. Para iniciar el movimiento, empieza a bajar uno Flexión lateral con peso corporal hecha Núcleo Peso corporal Ninguno Oblicuos Recto abdominal",Frontal,"Las costillas hacia la cadera lateral, y luego volver a la posición de inicio posición.",https://www.youtube.com/watch?v=u2mabKGrrMI
", con brazos caídos a los lados. Para iniciar el movimiento, empieza a bajar uno",,Flexión,Peso corporal,hecha,Núcleo Peso corporal Ninguno Oblicuos Recto abdominal Frontal hombro hacia abajo y extiende el brazo hacia el suelo,"apretandohttps://www.youtube.com/watch?v=u2mabKGrrMI las costillas hacia la cadera lateral, y luego volver a la posición de inicio posición. La extensión de tríceps con peso corporal comienza en una posición de plancha inclinada, con manos sujetando una barra en rack, manos pronadas y a la anchura de los hombros Extensión de tríceps con peso corporal hecha Empuje Peso corporal Barra Tríceps Recto abdominal, Pectorales",Sagital,"Codos y acercar la frente hacia la barra. Luego, empuja la barra alejarla de ti para re-extenderla",https://www.youtube.com/watch?v=2dBaF1Gzrbg
Parte inferior de la retención de dip,hecho,Empujar,Peso corporal,Barra,"de inmersión Pectorales, Deltoides anteriores Recto abdominal,",Trapecio,Sagital,Cuerpo hacia abajo hasta que los codos estén aproximadamente alineados con los hombros (dependiendo del rango de movilidad),https://www.youtube.com/watch?v=d8hSypNS92Y
Parte inferior de la pausa de sentadilla frontal,hecho,Sentadilla,Carga externa,Barra,"Cuádriceps, Glúteos, Erector de la espina lumbar","Isquiotibiales, Gemelos",Sagital,"Con la anchura adecuada, dedos de los pies hacia afuera y talones enraizados al suelo, manteniendo la columna vertical y erguida.",https://www.youtube.com/watch?v=OiIEs9VV9yI
Sujeción de flexión,hecho,Empujar,Peso corporal,Ninguno,"Pectorales, Deltoides anteriores, Tríceps","Rectus Abdominis, Glutes, Hamstrings",Sagital,"Isquiotibiales del cuerpo, y baja el frente del cuerpo para que flote justo por encima",https://www.youtube.com/watch?v=GFRexD-7q80
Parte inferior de la pausa de sentadilla,hecho,Sentadilla,Peso corporal,Barra,anclada Flexores de la cadera,Hip Flexors,Sagital,"Isquiotibiales columna vertical y erguida. Para ayudar a la estabilidad del agarre, toma",https://www.youtube.com/watch?v=xIQ0bz94vFM
Bottoms Up Overhead Dual Kettlebell Carry,re-film,Empujar,Carga externa,Kettlebell,"Cuádriceps, Latísimo Dorsi","Quadriceps, Latissimus Dorsi",Sagital,Abdominales núcleo.,https://www.youtube.com/watch?v=xFJao6Eksps
Bottoms Up Press,re-film,Empujar,Carga externa,Kettlebell,"Deltoides anteriores, Tríceps Trapecio,",Deltoides posteriores,Sagital,"Los nudillos apuntando hacia el techo para extender los brazos por completo por encima de la cabeza como puedas. Luego, con control, baja las kettlebells de regreso a la posición inicial Ejercicio Estado Patrón Tipo Implemento principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube",https://www.youtube.com/watch?v=PylGJW76yfo
Plancha lateral Bottoms Up,hecho,Núcleo,Carga externa,Kettlebell,"Oblicuos, deltoides, tríceps Recto abdominal,",glúteos,Frontal,Bola arriba). Activa apretando la cadera inferior y,https://www.youtube.com/watch?v=zJeHjAbq6YM
Bounding,hecho,Locomoción,Peso corporal,Ninguno,"Cuádriceps, Glúteos pantorrillas, isquiotibiales, Flexores de cadera,",bíceps,Sagital,"Bow and Bend comienza en una postura erguida con los pies al ancho de las caderas o un poco más separados. Para iniciar el movimiento, manteniendo los brazos Bow and Bend",https://www.youtube.com/watch?v=nZLdyOIZ1-w
Bow and Bend,re-film,Flexión,Estabilidad,Ninguno,"Isquiotibiales, deltoides anteriores Erectores espinales",Erector Spinae,Sagital,"Extensión de espalda, apretando los glúteos juntos y metiendo el coxis (para proteger la zona lumbar), luego inclínate",https://www.youtube.com/watch?v=E5qy0rzBqqY
El Box Handstand Hold,hecho,Empuje,Peso corporal,Caja pliométrica,"Tríceps, trapecio, deltoides Recto abdominal,",erectores espinales,Sagital,Presionando continuamente el suelo hacia abajo.,https://www.youtube.com/watch?v=Y74MP0IpKOE
Box Jump Over,re-film,Sentadilla,Peso corporal,Plyo,"Box Cuádriceps, Glúteos Isquiotibiales,",Gemelos,Sagital,"Lado, dobla las rodillas al aterrizar para amortiguar el aterrizaje, luego gira",https://www.youtube.com/watch?v=XmAVVkA0X58
Box Jump Step Down,re-film,Una pierna,Peso corporal,Plyo,"Box Cuádriceps, Glúteos Isquiotibiales,",Gemelos,Múltiple,"Control, extiende un pie hacia atrás y hacia abajo, seguido por el otro pie para ste",https://www.youtube.com/watch?v=-MJyEtCaUCI
Box Shoulder Stretch,re-film,Jalar,Peso corporal,Plyo,"Box Deltoides Anteriores, Latíssimo Dorsi","Deltoides Posteriores, Trapecio",Sagital,Hacia el suelo.,https://www.youtube.com/watch?v=iuvOSKxm50Y
Box Shoulder Stretch Against Wall,re-film,Doblar,Estabilidad,Plyo,"Box Deltoides Anteriores, Latísimo Dorsi","Deltoides Posteriores, Trapecio",Sagital,"Brazos extendidos por encima de la cabeza, con bíceps cerca de la oreja, manos colocadas en una pared frente a ti a la altura de la cadera. Permite que el pecho se hunda hacia el el piso a Box Squat comienza en una postura de pie alta, los pies un poco más anchos que la cadera- ancho con los dedos ligeramente hacia afuera, con una barra colocada en el Box Squat",https://www.youtube.com/watch?v=0peYbCDrP7E
Permite que el pecho se hunda hacia el el piso a,re-film,Sentadilla,Carga externa,Barra,"Cuádriceps, glúteos, isquiotibialesGemelos,",erectores de la columna,Sagital,"Manteniendo la espalda plana, y lleva las caderas hacia atrás y hacia abajo sobre la caja. Luego, bri",https://www.youtube.com/watch?v=xubJ5Jo-v6E
Box Step Over,hecho,Pierna única,Peso corporal,Caja pliométrica,"Cuádriceps, glúteos, isquiotibialesGemelos",,Múltiple,"Primero un pie y luego el otro, para volver al suelo. Gira alrededor, 180 grados y repite",https://www.youtube.com/watch?v=OMQ81Ac3
Paso de caja hacia arriba,re-film,Pierna única,Peso corporal,Caja pliométrica,"Cuádriceps, glúteos, isquiotibialesGemelos",Calves,Sagital,"Pie, para volver al suelo. Alterna el pie de inicio y el siguiente piernas",https://www.youtube.com/watch?v=gMQ2id4MYjE
Box Walk Over,hecho,Pierna única,Peso corporal,Caja pliométrica,"Cuádriceps, glúteos Isquiotibiales,",gemelos,Sagital,"Otro, gira en la parte superior y baja con una pierna. Bridge comienza tendido supino en el suelo, con las rodillas flexionadas y los talones abajo. Para preparar, lleva las manos atrás de las orejas, palmas hacia abajo y",https://www.youtube.com/watch?v=H1NNppo5E4w
Puente,re-film,Doblar,Peso corporal,Ninguno,"Glúteos, isquiotibiales, erectores de la columna Flexores Latísimo de cadera, dorsal deltoides anteriores,",,Sagital,KBVjTDA glúteos para activar.,https://www.youtube.com/watch?v=DSs
Bridge Walkout,hecho,Núcleo,Peso corporal,Ninguno,"Glúteos, isquiotibiales Recto Abdominal, Cuádriceps",,Sagital,WnN3M juntar las manos en oración sobre los hombros con los brazos,https://www.youtube.com/watch?v=c4w
Desde el puente de glúteos,re-film,Doblar,Peso corporal,Ninguno,"Deltoides, Dorsal ancho Tríceps","Cuádriceps erectores espinales, pared, a aproximadamente la distancia de un brazo de la pared. Para iniciar",Sagital,"Palmas tocándose, doblando las rodillas y apretando los glúteos para proteger la baja b Ejercicio Estado Patrón Tipo Implementación principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube",https://www.youtube.com/watch?v=ODewmYIy5Ks
Broad Jump,re-film,Locomoción,Peso corporal,Ninguno,"Cuádriceps, Oblicuo Gemelos, Lateral Isquiotibiales","Glúteos movimiento, coloca resistencia haciendo un giro en las caderas y doblando las",Sagital,"Brazos hacia arriba y adelante mientras se extienden las caderas de manera que los pies se despeguen del suelo y salten el f Burpee comienza en una posición alta de pie. Para iniciar el movimiento, doblar las caderas y doblar las rodillas y llevar las palmas hacia abajo",https://www.youtube.com/watch?v=7GjhAmmbImA
Burpee,re-film,Complejo,Peso corporal,Ninguno,"Pectoral mayor, Deltoides anteriores Cuádriceps","Tríceps Sagital al de suelo. un push-up, Salta hacia dejando atrás que a una la parte posición",Frontal,"Para volver a subir y avanzar los pies y realizar un salto vertical salto, un",https://www.youtube.com/watch?v=NRMhb6imSoA
Burpee Bar Muscle-Up,hecho,Complejo,Peso corporal,Barra de dominadas,"Latissimus Recto abdominal Dorsi, Bíceps, Tríceps, Glúteos","Romboides barra de dominadas. Para iniciar el movimiento, realiza un burpee doblando las caderas",Sagital,"Bajando completamente hasta el suelo. Luego, empújate",https://www.youtube.com/watch?v=bZx0ERSQHTU
Burpee Box Jump,re-film,Complejo,Peso corporal,Plyo,"Box Glúteos, , Tríceps Isquiotibiales, Pectoral mayor","Flexores de la cadera, Deltoides anteriores, Latissimus Dorsi",Sagital,"Superficie. Luego, vuelve a subir y sube los pies a las manos y vuelve a subir",https://www.youtube.com/watch?v=X8u9MgLMhTA
Burpee Box Jump Over,re-film,Complejo,Peso corporal,Caja pliométrica,"Glúteos, Tríceps Isquiotibiales, Cuádriceps, Pectorales, Dorsale","s Deltoides Anteriores, Latíssimo",Múltiple,"Suelo. Luego, eleva de nuevo y salta los pies hacia las manos y vuelve a El Burpee Jump Largo comienza en una postura erguida neutral. Para iniciar el movimiento, realiza un burpee doblando las caderas, flexionando Burpee Jump Largo",https://www.youtube.com/watch?v=ayYlao8C5bQ
